#Contest ID,Contest Title,Contest Seq Nbr,Contest Type,Contest Party,Mail Blank Votes,In-Person Blank Votes,Mail Over Votes,In-Person Over Votes,Mail Invalid Votes,In-Person Invalid Votes,Registered Voters,Total Precincts,Counted Precincts,Candidate ID,Candidate Name,Candidate Seq Nbr,Candidate Party,Mail Votes,In-Person Votes,Total Votes
"337","U.S. Senator","1","OF","G","250","11","0","0","3652","82","839618","496","419","1","POHLMAN, Emma Jane Avila","1",,"1201","20","1221",
"192","U.S. Senator","2","OF","R","4210","116","91","2","2960","59","839618","496","419","2","MCDERMOTT, Bob","4",,"23762","906","24668",
"192","U.S. Senator","2","OF","R","4210","116","91","2","2960","59","839618","496","419","1","LAM, Adriel C.","3",,"6817","641","7458",
"192","U.S. Senator","2","OF","R","4210","116","91","2","2960","59","839618","496","419","5","AMARAL, Melba","1",,"6254","291","6545",
"192","U.S. Senator","2","OF","R","4210","116","91","2","2960","59","839618","496","419","4","DOLAN, Paul","2",,"3493","120","3613",
"192","U.S. Senator","2","OF","R","4210","116","91","2","2960","59","839618","496","419","3","REYES, Arturo P.","5",,"2860","120","2980",
"192","U.S. Senator","2","OF","R","4210","116","91","2","2960","59","839618","496","419","6","TIPON, Emmanuel","6",,"1764","80","1844",
"267","U.S. Senator","3","OF","D","7505","112","133","0","4366","82","839618","496","419","2","HIRONO, Mazie K.","2",,"160165","1464","161629",
"267","U.S. Senator","3","OF","D","7505","112","133","0","4366","82","839618","496","419","3","CURTIS, Ron","1",,"12649","264","12913",
"267","U.S. Senator","3","OF","D","7505","112","133","0","4366","82","839618","496","419","1","LEWMAN, Clyde McClain (Mac)","3",,"3691","96","3787",
"335","U.S. Senator","4","OF","N","1074","18","0","0","3548","65","839618","496","419","1","GIUFFRE, John (Raghu)","1",,"864","17","881",
"339","U.S. Senator","5","OF","W","167","4","0","0","3114","59","839618","496","419","1","BILLIONAIRE, Shelby Pikachu","1",,"823","33","856",
"104","U.S. Representative, Dist I","6","OF","R","9317","290","0","0","1243","19","839618","223","223","1","LARGEY, Patrick C.","1",,"14801","678","15479",
"266","U.S. Representative, Dist I","7","OF","D","7024","81","28","1","2690","44","839618","223","223","2","CASE, Ed","1",,"77826","553","78379",
"266","U.S. Representative, Dist I","7","OF","D","7024","81","28","1","2690","44","839618","223","223","1","HALE, Cecil R.","2",,"6604","127","6731",
"338","U.S. Representative, Dist I","8","OF","N","389","5","0","0","1994","38","839618","223","223","1","GRIFFIN, Calvin","1",,"371","6","377",
"269","U.S. Representative, Dist II","9","OF","R","9257","439","0","0","1479","27","839618","273","196","1","BOND, Steve","1",,"15876","869","16745",
"70","U.S. Representative, Dist II","10","OF","D","16552","268","0","0","1684","23","839618","273","196","1","TOKUDA, Jill N.","1",,"76109","906","77015",
"336","U.S. Representative, Dist II","11","OF","N","653","16","0","0","2033","46","839618","273","196","1","MEYER, Randall Kelly","1",,"525","8","533",
"341","U.S. Representative, Dist II","12","OF","L","43","0","0","0","1572","36","839618","273","196","1","TOMAN, Aaron","1",,"313","3","316",
"143","State Senator, Dist 1","13","OF","D","671","12","6","0","296","5","839618","20","10","1","INOUYE, Lorraine Rodero","2",,"7096","129","7225",
"143","State Senator, Dist 1","13","OF","D","671","12","6","0","296","5","839618","20","10","2","ACASIO, Laura","1",,"4123","141","4264",
"319","State Senator, Dist 3","14","OF","R","728","3","0","0","136","0","839618","20","10","1","SULLIVAN, Kurt (Sulli)","1",,"1551","10","1561",
"248","State Senator, Dist 3","15","OF","D","1441","4","0","0","178","0","839618","20","10","1","KANUHA, Dru Mamo","1",,"5874","8","5882",
"253","State Senator, Dist 4","16","OF","D","2131","6","0","0","163","0","839618","26","13","1","RICHARDS, Herbert (Tim)","1",,"5833","22","5855",
